"Timestamp","Gender Balance Preference","How many captains should we elect?","Ranked Choice Voting - Captain Tandems  [Choice 1 (Top choice)]","Ranked Choice Voting - Captain Tandems  [Choice 2]","Ranked Choice Voting - Captain Tandems  [Choice 3]","Ranked Choice Voting - Captain Tandems  [Choice 4]","Ranked Choice Voting - Captain Tandems  [Choice 5]","Ranked Choice Voting - Captain Tandems  [Choice 6]","Ranked Choice Voting - Captain Tandems  [Choice 7]","Ranked Choice Voting - Captain Tandems  [Choice 8]","Ranked Choice Voting - Captain Tandems  [Choice 9]","Ranked Choice Voting - Captain Tandems  [Choice 10]","Ranked Choice Voting - Captain Tandems  [Choice 11]"
"2022/01/06 2:51:23 PM PST","I would prefer an even number of female-matching and male-matching captains.","","Anna, Kate, Wade, Peaches","Anna, Peaches","Kate, Peaches","Wade, Peaches","Anna, Kate","Anna, Wade","Kate, Wade","Kate, Wade, Peaches","Anna, Wade, Peaches","Anna, Kate, Peaches","Anna, Kate, Wade"
"2022/01/08 7:45:20 AM PST","","3","Anna, Kate, Peaches","Anna, Kate, Wade","Anna, Kate, Wade, Peaches","Anna, Kate","Anna, Peaches","Kate, Peaches","Anna, Wade, Peaches","Kate, Wade, Peaches","Anna, Wade","Kate, Wade","Wade, Peaches"
"2022/01/08 7:50:55 AM PST","I would prefer an even number of female-matching and male-matching captains.","4","Anna, Kate, Wade, Peaches","Anna, Wade, Peaches","Kate, Wade, Peaches","Anna, Kate, Peaches","Anna, Peaches","Kate, Peaches","Wade, Peaches","Kate, Wade","Anna, Kate, Wade","Anna, Wade","Anna, Kate"
"2022/01/08 8:14:28 AM PST","I would prefer an even number of female-matching and male-matching captains.","","Anna, Kate, Wade, Peaches","Anna, Kate, Peaches","Kate, Wade, Peaches","Anna, Kate, Wade","Anna, Wade, Peaches","Kate, Peaches","Anna, Peaches","Anna, Kate","Kate, Wade","Anna, Wade","Wade, Peaches"
"2022/01/08 8:34:24 AM PST","I have no preference.","4","Anna, Kate, Wade, Peaches","Anna, Wade, Peaches","Anna, Kate, Peaches","Anna, Kate, Wade","Kate, Wade, Peaches","Anna, Peaches","Kate, Peaches","Kate, Wade","Anna, Wade","Wade, Peaches","Anna, Kate"
"2022/01/08 8:50:17 AM PST","I have no preference.","3","Anna, Kate, Wade","Anna, Wade, Peaches","Anna, Kate, Wade, Peaches","Anna, Kate, Wade","Anna, Kate, Peaches","Kate, Wade, Peaches","Anna, Wade","Anna, Kate","Kate, Wade","Kate, Peaches","Wade, Peaches"
"2022/01/08 10:19:37 AM PST","I have no preference.","3","Anna, Kate, Peaches","Kate, Peaches","Anna, Peaches","Anna, Kate, Wade, Peaches","Anna, Wade, Peaches","Kate, Wade, Peaches","Anna, Kate, Wade","Anna, Kate","Wade, Peaches","Anna, Wade","Kate, Wade"
"2022/01/08 12:45:04 PM PST","I would prefer an even number of female-matching and male-matching captains.","4","Anna, Kate, Wade, Peaches","Anna, Kate, Wade","Anna, Kate, Peaches","Anna, Wade, Peaches","Kate, Wade, Peaches","Anna, Kate","Anna, Wade","Anna, Peaches","Kate, Wade","Kate, Wade","Kate, Wade"
"2022/01/08 1:59:01 PM PST","I have no preference.","4","Anna, Kate, Wade, Peaches","Anna, Kate, Peaches","Anna, Wade, Peaches","Anna, Kate, Wade","Kate, Wade, Peaches","Anna, Peaches","Anna, Wade","Kate, Peaches","Wade, Peaches","Anna, Kate","Kate, Wade"
"2022/01/08 2:01:57 PM PST","I would prefer an even number of female-matching and male-matching captains.","2","Anna, Peaches","Anna, Kate, Peaches","Kate, Peaches","Anna, Kate","Anna, Kate, Wade, Peaches","Anna, Wade, Peaches","Kate, Wade, Peaches","Anna, Kate, Wade","Anna, Wade","Kate, Wade","Wade, Peaches"
"2022/01/08 3:28:42 PM PST","I would prefer an even number of female-matching and male-matching captains.","4","Anna, Kate, Wade, Peaches","Anna, Wade, Peaches","Anna, Peaches","Wade, Peaches","Anna, Wade","Kate, Peaches","Kate, Wade","Kate, Wade, Peaches","Anna, Kate, Peaches","Anna, Kate, Wade","Anna, Kate"
"2022/01/08 5:36:31 PM PST","","","Anna, Peaches","Anna, Kate, Peaches","Anna, Kate","Kate, Peaches","Anna, Kate, Wade, Peaches","Anna, Kate, Wade","Anna, Wade, Peaches","Kate, Wade, Peaches","Anna, Wade","Kate, Wade","Wade, Peaches"
"2022/01/09 11:14:56 AM PST","I have no preference.","2","Anna, Peaches","Anna, Wade","Wade, Peaches","Anna, Wade, Peaches","Kate, Peaches","Kate, Wade","Anna, Kate","Kate, Wade, Peaches","Anna, Kate, Peaches","Anna, Kate, Wade","Anna, Kate, Wade, Peaches"
"2022/01/09 1:14:05 PM PST","I have no preference.","3 or 4","Anna, Kate, Peaches","Anna, Kate, Wade, Peaches","Anna, Kate, Wade","Anna, Wade, Peaches","Kate, Wade, Peaches","Anna, Kate","Kate, Peaches","Anna, Peaches","Kate, Wade","Anna, Wade","Wade, Peaches"
"2022/01/09 2:06:22 PM PST","I would prefer an even number of female-matching and male-matching captains.","4","Anna, Kate, Wade, Peaches","Anna, Kate, Wade","Anna, Kate, Peaches","Kate, Wade, Peaches","Anna, Wade, Peaches","Kate, Wade","Kate, Peaches","Anna, Wade","Anna, Peaches","Anna, Kate","Wade, Peaches"
"2022/01/09 4:36:54 PM PST","I have no preference.","3","Anna, Kate","Anna, Kate, Wade","Anna, Kate, Peaches","Anna, Kate, Wade, Peaches","Kate, Wade","Kate, Peaches","Kate, Wade, Peaches","Anna, Wade","Anna, Peaches","Anna, Wade, Peaches","Wade, Peaches"
"2022/01/09 8:13:51 PM PST","I have no preference.","3","Anna, Kate, Wade","Anna, Kate, Peaches","Anna, Wade, Peaches","Anna, Kate, Wade, Peaches","Kate, Wade, Peaches","Anna, Peaches","Anna, Wade","Kate, Wade","Anna, Kate","Wade, Peaches","Kate, Peaches"
"2022/01/10 9:05:34 AM PST","I would prefer an even number of female-matching and male-matching captains.","4","Anna, Kate, Wade, Peaches","Anna, Kate, Peaches","Anna, Kate, Wade","Anna, Wade, Peaches","Kate, Wade, Peaches","Anna, Kate","Anna, Peaches","Anna, Wade","Kate, Peaches","Kate, Wade","Wade, Peaches"
"2022/01/10 10:45:56 AM PST","I would prefer an even number of female-matching and male-matching captains.","2","Anna, Kate, Wade","Anna, Kate, Wade, Peaches","Anna, Kate","Anna, Kate, Peaches","Kate, Wade","Anna, Peaches","Anna, Wade","Kate, Wade, Peaches","Anna, Wade, Peaches","Kate, Wade","Kate, Wade"
"2022/01/10 2:44:57 PM PST","I would prefer an even number of female-matching and male-matching captains.","4","Anna, Kate, Wade, Peaches","Anna, Kate, Wade","Anna, Kate, Peaches","Anna, Kate","Anna, Wade","Anna, Peaches","Kate, Wade","Kate, Peaches","Kate, Wade, Peaches","Anna, Wade, Peaches","Wade, Peaches"
"2022/01/10 5:32:34 PM PST","I have no preference.","3","Anna, Kate, Wade","Anna, Wade, Peaches","Anna, Kate, Peaches","Kate, Wade, Peaches","Anna, Wade","Anna, Peaches","Kate, Wade","Kate, Peaches","Wade, Peaches","Anna, Kate","Anna, Kate, Wade, Peaches"
"2022/01/12 4:16:40 PM PST","I have no preference.","3","Anna, Kate, Peaches","Anna, Peaches","Anna, Kate, Wade, Peaches","Anna, Wade, Peaches","Anna, Kate, Wade","Anna, Kate","Kate, Peaches","Anna, Wade","Kate, Wade, Peaches","Kate, Wade","Wade, Peaches"
"2022/01/13 1:52:45 PM PST","I would prefer the leadership team (including coaches) to be at least half womxn","4","Anna, Kate, Wade, Peaches","Anna, Kate, Peaches","Anna, Kate, Wade","Anna, Peaches","Kate, Wade","Anna, Kate, Wade, Peaches","Anna, Kate, Wade, Peaches","Anna, Kate, Wade, Peaches","Anna, Kate, Wade, Peaches","Anna, Kate, Wade, Peaches","Anna, Kate, Wade, Peaches"
"2022/01/13 3:52:09 PM PST","I have no preference.","3","Anna, Kate, Wade","Anna, Kate, Wade, Peaches","Anna, Kate","Anna, Wade","Kate, Wade","Anna, Wade, Peaches","Anna, Kate, Peaches","Kate, Wade, Peaches","Anna, Kate, Wade","Anna, Peaches","Anna, Kate, Wade"
"2022/01/16 8:41:28 AM PST","I would prefer an even number of female-matching and male-matching captains.","4","Anna, Kate, Wade, Peaches","Anna, Kate, Wade","Kate, Wade, Peaches","Anna, Wade, Peaches","Anna, Kate, Peaches","Anna, Kate","Anna, Wade","Kate, Wade","Anna, Peaches","Kate, Peaches","Wade, Peaches"
"2022/01/16 12:20:47 PM PST","I have no preference.","","Anna, Wade","Anna, Wade, Peaches","Anna, Kate, Wade","Anna, Kate, Wade, Peaches","Anna, Kate, Peaches","Anna, Peaches","Anna, Kate","Kate, Wade, Peaches","Kate, Peaches","Kate, Wade","Wade, Peaches"
"2022/01/16 8:06:48 PM PST","I would prefer that there aren't more male-matching captains than female-matching captains","","Anna, Kate, Wade, Peaches","Anna, Kate, Wade","Anna, Kate, Peaches","Anna, Wade, Peaches","Kate, Wade, Peaches","Anna, Peaches","Anna, Wade","Anna, Kate","Kate, Wade","Kate, Peaches","Wade, Peaches"
"2022/01/17 6:53:12 AM PST","I would prefer an even number of female-matching and male-matching captains.","4","Anna, Kate, Wade, Peaches","Anna, Wade, Peaches","Anna, Kate, Peaches","Anna, Kate, Wade","Kate, Wade, Peaches","Anna, Peaches","Anna, Wade","Wade, Peaches","Kate, Peaches","Kate, Wade","Anna, Kate"
"2022/01/17 8:24:24 AM PST","I have no preference.","2","Anna, Peaches","Anna, Wade, Peaches","Anna, Kate, Wade, Peaches","Anna, Kate, Peaches","Anna, Wade","Anna, Kate, Wade","Kate, Wade, Peaches","Anna, Kate","Kate, Peaches","Kate, Wade","Wade, Peaches"